repo_name	repo_path	origin
new-batch/cports	/home/jeremy/git/new-batch/cports	https://github.com/chimera-linux/cports
new-batch/fides	/home/jeremy/git/new-batch/fides	https://github.com/ethyca/fides.git
new-batch/fideslang	/home/jeremy/git/new-batch/fideslang	https://github.com/ethyca/fideslang.git
new-batch/freedesktop-sdk	/home/jeremy/git/new-batch/freedesktop-sdk	https://gitlab.com/freedesktop-sdk/freedesktop-sdk.git
new-batch/iam	/home/jeremy/git/new-batch/iam	https://github.com/theopenlane/iam.git
new-batch/novnc	/home/jeremy/git/new-batch/novnc	https://github.com/vishvananda/novnc.git
new-batch/price-transparency-guide	/home/jeremy/git/new-batch/price-transparency-guide	https://github.com/CMSgov/price-transparency-guide.git
new-batch/rust	/home/jeremy/git/new-batch/rust	https://github.com/rust-lang/rust.git
new-batch/schema-repo	/home/jeremy/git/new-batch/schema-repo	https://github.com/schema-repo/schema-repo.git
new-batch/schema-service	/home/jeremy/git/new-batch/schema-service	https://community.opengroup.org/osdu/platform/system/schema-service.git
new-batch/sgCheckup	/home/jeremy/git/new-batch/sgCheckup	https://github.com/goldfiglabs/sgCheckup.git
new-batch/titan	/home/jeremy/git/new-batch/titan	https://github.com/Titan-Systems/titan.git
new-batch/turbo-whisper	/home/jeremy/git/new-batch/turbo-whisper	https://github.com/knowall-ai/turbo-whisper.git
git/novnc	/home/jeremy/git/novnc	https://github.com/vishvananda/novnc.git
git/opa	/home/jeremy/git/opa	https://github.com/open-policy-agent/opa
operation-dbus	/home/jeremy/git/operation-dbus	https://github.com/repr0bated/operation-dbus.git
git/presidio	/home/jeremy/git/presidio	https://github.com/microsoft/presidio
git/price-transparency-guide	/home/jeremy/git/price-transparency-guide	https://github.com/CMSgov/price-transparency-guide.git
git/rtnetlink	/home/jeremy/git/rtnetlink	https://github.com/rust-netlink/rtnetlink
git/rust	/home/jeremy/git/rust	https://github.com/rust-lang/rust.git
git/schema-registry	/home/jeremy/git/schema-registry	https://github.com/confluentinc/schema-registry
git/schema-repo	/home/jeremy/git/schema-repo	https://github.com/schema-repo/schema-repo.git
git/schema-service	/home/jeremy/git/schema-service	https://community.opengroup.org/osdu/platform/system/schema-service.git
git/servers	/home/jeremy/git/servers	https://github.com/modelcontextprotocol/servers
git/sgCheckup	/home/jeremy/git/sgCheckup	https://github.com/goldfiglabs/sgCheckup.git
git/specification	/home/jeremy/git/specification	https://github.com/modelcontextprotocol/specification
git/temporal	/home/jeremy/git/temporal	https://github.com/temporalio/temporal
git/titan	/home/jeremy/git/titan	https://github.com/Titan-Systems/titan.git
git/tokio	/home/jeremy/git/tokio	https://github.com/tokio-rs/tokio
git/turbo-whisper	/home/jeremy/git/turbo-whisper	https://github.com/knowall-ai/turbo-whisper.git
git/typify	/home/jeremy/git/typify	https://github.com/oxidecomputer/typify
zeroclaw	/home/jeremy/git/zeroclaw	https://github.com/zeroclaw-labs/zeroclaw.git
